"","p","d","q","P","D","Q","RMSE","AICC"
"3",2,1,0,0,1,0,"978.403997424151","676.947240230919"
"4",3,1,0,0,1,0,"978.383924315131","679.422658489943"
"9",2,1,1,0,1,0,"974.779105145745","679.152685314215"
"10",3,1,1,0,1,0,"910.977768218013","678.451735644263"
"21",2,1,3,0,1,0,"867.78630561586","678.296902055078"
"22",3,1,3,0,1,0,"838.851219483046","680.333197770108"
"27",2,1,4,0,1,0,"884.091854357181","682.672677797491"
"39",2,1,0,1,1,0,"971.875178367205","678.939461993423"
"45",2,1,1,1,1,0,"955.546160523387","680.279292562641"
"46",3,1,1,1,1,0,"904.648486116704","680.827414460626"
"57",2,1,3,1,1,0,"921.107140061861","683.623533063873"
"75",2,1,0,2,1,0,"940.381319326903","679.802041073957"
"117",2,1,1,3,1,0,"875.544744590277","681.581516055637"
